# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Response"
"","","","","","Its difficult"
"","","","","","Provide free faculty breakfast, lunch and dinner, free faculty housing, to solve the worries of faculty."
"","","","","","?"
"","","","","","It's doing everything it can."
"","","","","","Increase salaries to match the cost of living in the area"
"","","","","","they do a wonderful job of offering assisitance."
"","","","","","Increase wage for full time faculty through loyalty pay to help counteract the increase in the cost of living (housing, utilities, food) in our area."
"","","","","","Refine Meal Swipe System: Make it easier for students to access meal swipes or other food assistance plans."
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","New Mexico State University, Alamogordo","33","15","12","We have a Cupboard and fruit and other food is made available free of charge on campus. "
"","","","","","Institute community gardens all over campuses. There are many spaces on campuses and within the cities that are wasted or not in use that could be converted to community gardens where people can grow and share food. "
"","","","","","Our college could offer emergency funds to students that need housing or food support."
"","","","","","On campus options for food."
"","","","","","Better salary, and promote food for employees."
"","","","","","We could use a cafeteria or deli."
"","","","","","You can find a safe house near the school

"
"","","","","","Food could be made available on Campus."
"","","","","","å¬å–å­¦ç”Ÿå’Œå„çº§äººå£«çš„æ„è§"
"","","","","","Offer hot/prepared meals to students in need."
"","","","","","better pay for adjuncts"
"","","","","","Improve salaries"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","New Mexico State University, Grants","18","6","5"," Provide healthy meals on campus instead of fast food types."
"","","","","","Food pantry availability"
"","","","","","We package individual meals at the Student Success Center. These are needed by the students and staff at our college. We need support for this program."
"","","","","","We have an amazing resource with our Aggie Cupboard. Securing partnerships and funding for that would be very beneficial. We could then extend services to offer or address housing insecurity issues. "
"","","","","","have an orientation to the pantry resources at the beginning of the semester"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","New Mexico State University, Las Cruces","103","57","50","Provide more readily available and affordable options for healthy meals. "
"","","","","","no"
"","","","","","I donâ€™t know "
"","","","","","Pay Base Faculty better. The amount  of work put in to keep the university running is constantly growing and the work load continues to get heavier. Better compensation should be paid. "
"","","","","","Other more selctions and not as expensive"
"","","","","","Better education on what to expect"
"","","","","","Higher wages."
"","","","","","It's not their responsibility to address food and housing insecurity."
"","","","","","Cost of benefits is too high - $951 a month for health alone. Wouldnâ€™t have accepted position if I would have realized so much of my salary would not be accessible "
"","","","","","More places to sell food on the campus"
"","","","","","increased pay for graduate students, lower cost of housing"
"","","","","","Affordable options"
"","","","","","Free meals are needed on campus."
"","","","","","Give departments more information about where students, faculty and staff can go on campus when they are food and housing insecure. Create a fund to help those who are food or housing insecure. "
"","","","","","Cheaper on campus options"
"","","","","","You would need to actually ask the people with whom it affects....not those of us who with privilege. "
"","","","","","Increase my salary. Honestly, that's it. I don't care about food programs or any other things. I want more money and a decent salary for the work I do. "
"","","","","","Increase minimum faculty pay, have better health insurance choices, pay graduate students a living wage and include tuition stipends and health insurance. "
"","","","","","Make more housing available to grad students, lower the price of on campus food plans, pay adjuncts a living wage "
"","","","","","Find better ways for students to be aware."
"","","","","","More services for students, staff, and faculty"
"","","","","","more food options at popular study locations where students like to go. Longer food service hours (7 days a week, 8AM-8PM), regularly stocked vending machines, consistent food offerings 7 days a week."
"","","","","","make getting help less stigmatized"
"","","","","","Provide better wages to staff and graduate assistants. Open unused campus housing for approved unhoused people."
"","","","","","Continue to offer services and food pantry for those who need it. "
"","","","","","Lower the high cost of goods and housing. Make more work programs available and easy for students to apply for including more accommodating work hours."
"","","","","","Increase salary"
"","","","","","More affordable options
"
"","","","","","More affordable housing for students.  Having more opportunities to offer nutritious foods free or at a discounted price so more students, Starr, and faculty could afford them. "
"","","","","","I do not have such problems. However please consider whether organized commutes to & from El Paso or Hatch couldn't help students who live there but study at NMSU-Las Cruces. I regularly have students miss class because of mechanical issues on the road. There are buses between El Paso & Las Cruces, but it's worth asking whether options couldn't be improved either by working more closely with existing busing options or creating new ones."
"","","","","","more food drives where we bring in food for distribution"
"","","","","","There are units of on-campus housing that do not seem to be fully used; these could be updated and put to better use as affordable student/staff housing.
Perhaps lower cost food plans could be made available to students/staff experiencing food insecurity; that way they could access affordable food without having to confront the stigma associated with going to the food bank."
"","","","","","Provide transportation to campus food pantry so the one paid employee does not have to use her own vehicle; increase options for pantry locations along with remote delivery. "
"","","","","","Provide a food pantry for students, more healthier accessible on-campus food options"
"","","","","","increase salaries for faculty and staff"
"","","","","","have food options on campus"
"","","","","","Help those who need it. Pantries are great! Lower the cost of student housing. "
"","","","","","Lower cost housing and food options for students, higher wages for faculty and staff. More mental health services and out reach for all.  Better health insurance with lower co-pays. "
"","","","","","Building more dining and housing space"
"","","","","","pay their staff and adjuncts better so that they can afford to live"
"","","","","","More affordable fresh fruits. Better health insurance so that getting medical care is not always so expensive. "
"","","","","","Housing support for faculty. Higher pay for faculty. "
"","","","","","Providing food for more on campus events and not just through the mess hall food company. This hoop stops students from wanting to attend free events. "
"","","","","","Work with family and friends to take care of the children together."
"","","","","","Help in shelter"
"","","","","","Food pantries or vouchers"
"","","","","","Provide student housing"
"","","","","","There are resources on main campus, but limited services on satellite campuses- this should be addressed- mainly by gathering the information in one place and updating the information on a semi-annual basis- I have created a list for my students, and am adding to it as I go along, but some of it may be outdated as I cannot verify it all regularly."
"","","","","","Pay us more. "
"","","","","","I think promoting the availability of the food pantry, but making the use of it discrete would be good....but that is speculation."
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","Northern New Mexico College","22","14","13","I'm not convinced universities are the place for solutions. I think other, holistic support provides by experts would be more useful. And, fixing the systemic issues underlying poverty and food insecurity. "
"","","","","","I think it would be helpful for the college to provide information that would empower students (how to deal with landlord issues, how leases work, what their rights are as renters or homeowners). I often find myself talking to students about their living situations. "
"","","","","","Food services on campus. Safe housing."
"","","","","","My students often report they have poor access to reliable transportation. I know the college has some funding for these emergencies, but the need is greater, I think, than what's available, and there is limited awareness of assistive funds among my students."
"","","","","","It be a great idea to let Faculty  go to college food pantry and get help .  There are .any services for students but it be great to involve faculty as well. Many never say they struggle. When they are struggling. "
"","","","","","Provide housing"
"","","","","","Cheaper tuition, cheaper housing, expanded food pantry"
"","","","","","to reduce or ban genetically modified foods"
"","","","","","Provide accommodation"
"","","","","","Develop connections with housing resources for our students since we do not have on campus housing."
"","","","","","Invest in housing opportunities via partnerships with the city and other agencies."
"","","","","","You can trade labor for food"
"","","","","","To fund emergency scholarships to address these issues."
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","San Juan College","118","44","34"," Make the food on campus more affordable, and the food panty more accessible with better, more trained staff"
"","","","","","Housing stipend for full time faculty. Even if it didn't cover rent/mortgage, it could cover food costs."
"","","","","","UNKNOWN"
"","","","","","For the students, get a bill passed for free or reduced lunch much like public schools. "
"","","","","","Mary's Kitchen vouchers to give out to students in need. Store vouchers to give out to students in need.  

Build houses."
"","","","","","Reduce restrictions about purchasing food on campus (potlucks, off-campus food for small meetings)"
"","","","","","Advertise resources for students more widely/visibly."
"","","","","","For faculty and staff, the college could pay people more and establish a reliable timeline and scale for salary increases to avoid our frequent wage freezes and high employee attrition rate. The college could also expand access to the food pantry to include fruit/veggies and establish partnerships with subsidized housing units to provide students with cheap/nice places to live. The college could establish a bus system of its own. It could have a fleet of buses and hire bus drivers to shuttle students to and from Shiprock, Cuba, DZ, Dulce, Aztec, Durango, Kirtland, Bloomfield, Farmington, etc. The public transportation in the 4 corners area is limited and students are constantly facing barriers related to having a ride to campus. I think this would also increase enrollment. These buses and drivers could also be used for field trips and visits to transfer universities to increase our transfer rate. "
"","","","","","We are doing a good job"
"","","","","","???????"
"","","","","","I don't think it is the college's responsibility.... They do provide good benefits and support but the economy is in the trash.  That is not the fault of the school. "
"","","","","","no"
"","","","","","Food vouchers for campus dinning. "
"","","","","","Pay adjuncts a living wage. "
"","","","","","Marketing on bulletins or kiosks. "
"","","","","","Give me more money."
"","","","","","allow short term on campus housing"
"","","","","","It would be helpful if our college actively promoted our food pantry.  It would also be helpful if they included low cost/free options in the cafeteria or frequently used areas.  "
"","","","","","access in more places."
"","","","","","Providing lower cost, healthy meals in the kitchens/dining halls."
"","","","","","Better exposure to where when and how someone in need can utilize the services available through the campus."
"","","","","","food pantry is a good idea"
"","","","","","Raise(s) in pay, including cost of living."
"","","","","","DO NOT KNOW"
"","","","","","more food"
"","","","","","more places for students to obtain food for free"
"","","","","","Provide temporary housing through our on-campus housing for students in need"
"","","","","","I don 't know."
"","","","","","I know that we have supports in place for students with food and housing insecurity. I also gather than some are ashamed or embarrassed to ask for help, which I completely understand. I honestly wish there was some way we could remove the barrier of shame for those who need help, but I do not have any creative ideas. "
"","","","","","Student food discount & serve healthy foods"
"","","","","","If some students need it get a box to them regularly."
"","","","","","Work with other agencies in our community to address food and housing insecurities"
"","","","","","Awarnes and identification of the magnitude of the need."
"","","","","","Make the housing more available to short term students. Set up areas where people could pick up canned goods anonymously. "
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","Santa Fe Community College","47","26","27","Si me pudieran ayudar con la renta "
"","","","","","I honestly donâ€™t think its the collegeâ€™s role or responsibility to do this."
"","","","","","Let me live in the dorm at a low price"
"","","","","","More fresh foods (fruits and vegetables) in campus pantry"
"","","","","","Make campus cupboard more public"
"","","","","","The main thing would to be find a vendor for our kitchen/dining area. "
"","","","",""," "
"","","","","","Housing is an enormous issue in Santa Fe.  Faculty cannot afford to live in the area that they serve, thus commuting often long distances.  "
"","","","","","A tiny house project, perhaps?"
"","","","","","Provide as much support as possible to needy students."
"","","","","","Provide healthy food options on campus during business hours, at minimum"
"","","","","","(1) Pay faculty a living wage for Santa Fe.  (2) Allow faculty who teach online courses to be remote; there is absolutely NO NEED to spend resources to come to campus for online students.  I doubt administration would spend resources so unwisely."
"","","","","","Enlarge Cupboard and encourage all to use it to help remove shame from those who need it most"
"","","","","","Acknowledge employees pay and education. "
"","","","","","raise faculty salaries to a respectable level so we can meet all the basic living expenses -- "
"","","","","","Increase adjunct faculty pay."
"","","","","","Free childcare."
"","","","","","Potentially build dorm housing or faculty and staff subsidized housing."
"","","","","","offer more assistance"
"","","","","","open a cafeteria"
"","","","","","Offer more work "
"","","","","","Open the cafeteria please."
"","","","","","better wages"
"","","","","","I am not aware of individual cases, so I'm not in a position to offer a solution."
"","","","","","More counseling "
"","","","","","Free distribution of food"
"","","","","","on campus food services (any); food at reduced rates; better mental health support; better medical support"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","Southeast New Mexico College","27","9","7","Free food service cafeteria."
"","","","","","Offer a free pantry. "
"","","","","","Meal options included in orientation"
"","","","","","Provide no cost meals to those needing and use dorms. "
"","","","","","Have a food pantry on campus"
"","","","","","give us food stuff and remove the from our salary every month"
"","","","","","Provide more staff quarters"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","University of New Mexico, Albuquerque","328","137","105","The institution could treat food and housing security as part of their responsibility to their students.  "
"","","","","","The first thing would be giving TPTs multi-year contracts with full, year-round benefits. If that happens, I would feel able to lease an apartment in Albuquerque. I think that SINGLE move by the university would significantly improve many other co-factors. Another obvious change would be to increase pay. However, I want to be clear that just increasing pay does not solve all the other myriad difficulties of working as a TPT and if I had to choose between a small increase in pay or multi-year contracts with full year-round benefits, I'd choose the contracts over the pay."
"","","","","","Pay living wages, lower food prices on campus, offer more choices."
"","","","","","Respect"
"","","","","","I see my students struggle with food and housing insecurity. UNM should have more frequent and more locations for food pantry. Our dept. is organizing a food pantry with in our dept. for our undergrads and grads. It will be supplied by faculty."
"","","","","","Ditch fast food partners and heavily subsidize healthy food or quality local food vendors on campus. Subsidize a healthy grocery coop on campus for produce and make prices affordable for students."
"","","","","","More easy access options for students that donâ€™t require them to look for or apply for resources. "
"","","","","","Have several food banks. Offer temporary on-campus shelter."
"","","","","","More healthy food options and availability throughout the entire campus, not just in the SUB. UNM needs more student housing, especially for graduate students, that is affordable."
"","","","","","provide a pantry"
"","","","","","no"
"","","","","","Make college more affordable, including tuition, housing, books, board, fees.  The cost for a student to attend college for two semesters should be no more than the average student can make with a full time summer job."
"","","","","","Raise salary "
"","","","","","Increase salary"
"","","","","","Subsidize meal plans and housing "
"","","","","","Provide cheaper housing for students, more housing, safer housing, and more food pantry options."
"","","","","","I donâ€™t know "
"","","","","","offer health insurance to ad-junt professors, and honestly just more resources "
"","","","","","Make resources easier to obtain. Have several food banks across campus, one in the Health Sciences"
"","","","","","Don't know"
"","","","","","more funds"
"","","","","","Provide discounts for food on campus "
"","","","","","pay faculty a living wage. I teach more courses and more students than anyone in my department, leaving few hours for extra work, and my gross income is less than $25,000."
"","","","","","have more food options"
"","","","","","Food stipend, university housing "
"","","","","","Pay people more."
"","","","","","Advertise better if there are support mechanisms so students are more aware of them."
"","","","","","UNM is trying to address food and housing insecurity. The lobo food pantry is a great start. "
"","","","","","Pay staff a higher wage. Provide healthier foods in cafeterias and other food outlets on campus, subsidizing healthier options."
"","","","","","Full-year contracts for adjuncts and a wage increase. Grad TAs need a living wage."
"","","","","","Earning more money would be nice. I am the breadwinner for a family of six, daycare and housing costs are very high, and even though I make good income relative to many people, it is still not enough. Inflation and childcare costs have hit us really hard "
"","","","","","Offer cafeteria subsidy at UNMH for patients/visitors"
"","","","","","Pay a living wage full benefits and demand that any contractors doing business with university also pay a living wage and benefits. Immediately cease any contracts with companies that violate union busting laws. Bargain in good faith with all university workers unions. Do not participate in real estate deals that are likely to lead to gentrification. Food/housing insecurity is not just a university problem. Work with state/municipal government to to provide food security to all, not just university community."
"","","","","","Maybe more emails about what is available for students"
"","","","","","Pay a living wage"
"","","","","","accessible food pantry"
"","","","","","Provide free meals and housing to students"
"","","","","","Pay a living wage to all employees, including staff, adjunct faculty and graduate students."
"","","","","","Healthy and affordable meal options on campus!! Address campus safety!!!!! Maybe even community gardens??"
"","","","","","More awareness of LoboPantry - I became more aware of it during the pandemic. Continue raising more visibility to faculty if resources to support students. Consider how the fragmentation of information across JNMâ€™s website might lead to missed opportunities to support students. Consider a UX designer consult for our website."
"","","","","","This survey seems a good effort, and I appreciate that various university schools offer food pantries. I think the university would benefit from further community education about food, housing, and other forms of social insecurity."
"","","","","","More support for the food pantry. Better staff SHAC. Open an affordable, healthy cafeteria in the SUB."
"","","","","","Pay adjuncts, TAs and GAs more."
"","","","","","Pay employees better."
"","","","","","Have some kind of in house EBT card for students to get food when they need it from anywhere on campus. "
"","","","","","provide solutions specific to the person's needs, a food pantry is a good option but people may feel not to use it and it does not address food insecurity for those people who experience it daily."
"","","","","","A community garden or greenhouse on campus at UNM could be available to provide fresh produce to students. Students could work in the community garden cooperatively and it would enhance the campus environment. "
"","","","","","Hire students to do the work of many UNM blue collar/white collar workers and have a UNM meal pass be part of their pay"
"","","","","","Pay adjuncts fair wages and offer continuing appointments to long-term adjuncts. I've been rehired in my position for 14 years, yet my contract is still ""temporary"""
"","","","","","Increase salary to effectively match inflation"
"","","","","","Increase pay"
"","","","","","Pay for my student loans so my income can go toward groceries and a healthy lifestyle instead of paying my debt and scrounging for food or going without."
"","","","","","Have on campus family housing for single families. Have SOMETHING in place so if you move here from out of state there isnâ€™t an assumption that the new employee could survive for an entire month without pay or housing "
"","","","","","More food pantries throughout the campus and university housing.  Develop opportunity for students to join a CSA."
"","","","","","Increase availability of social work"
"","","","","","Have student run gardens and greenhouses"
"","","","","","save food and groceries from the waste bin and give away for free"
"","","","","","I think the food pantry is an excellent idea. I hope the branch campuses have them, too."
"","","","","","Shorter work week"
"","","","","","Offer more free or low-cost healthy food options on campus.  Offer lower cost student housing options."
"","","","","","Donâ€™t know"
"","","","","","cheaper whole-foods options available on campus. "
"","","","","","Provide opportunities for students to work for food and shelter. "
"","","","","","Provide day care that is affordable and accessible"
"","","","","","Offer more free food programs. "
"","","","","","I think the University is doing a good job. "
"","","","","","Provide more food resources and information on those available."
"","","","","","Lobby for lstudent loan forgiveness. Build faculty housing for those in need."
"","","","","","Food pantries at various locations. Need to include the Health Sciences"
"","","","","","Pay everyone better. "
"","","","","","I would like more training in the cafeteria for those who need to eat gluten free because of celiac, not lifestyle."
"","","","","","More resources for struggling students"
"","","","","","Pay graduate students a living wage"
"","","","","","Many of the adjuncts PTIs in our department on UNM main campus make very little money. The compensation they receive is not compatible with basic living needs. Given budget issues in my college, we must rely heavily on adjuncts to cover undergraduate courses. However, it is difficult to hire and retain adjuncts because they make very little money. "
"","","","","","Provide graduate students and faculty with a salary that is consistent with living wages"
"","","","","","Provide less competitive more stable jobs so that someone can continue living in the same city if they want to."
"","","","","","I'm not knowledgeable about this"
"","","","","","Pay low-wage workers better, develop mixed income housing near campus, esp. along Lomas. Work with city to improve public transit. Do not require students to take on unpaid internships for multiple semesters as part of their program of study (e.g. teacher practicum)."
"","","","","","Partner with the city of Albuquerque to provide resources for unhoused members of UNM community.  "
"","","","","","Pay staff, faculty, and grad employees more; work with venders on way to lower prices for food on campus"
"","","","","","I had no idea there was a food pantry. Let people know and find ways for it not to be uncomfortable to use it."
"","","","","","support student rights/living wages graduate students "
"","","","","","a grab & go free lunch program for students (maybe including healthy veggies or fruit?) with no cost (and no stigma) for students?"
"","","","","","cheaper, healthier food options for students (including food pantry and for pay options); provide cost of living raises for EVERYONE that actually match inflation"
"","","","","","More food pantries at varied locations, perhaps a cafeteria coupon program (I think UNM valencia has started doing this), maybe partner with local restaurants for reduced food options for UNM students? "
"","","","","","Pay your temporary part time employees wages that align with the current state of inflation."
"","","","","","Provide vouchers to students/staff to buy good produce and not rely on dry goods in a pantry as a means of providing for them."
"","","","","","Have housing for new employee to rent."
"","","","","","Pay a living wage and provide annual raises at least in line with inflation."
"","","","","","The Food Pantry shelves are often empty, which is heartbreaking. This situation could be publicized more; also interfacing multi-departmentally (performance arts), with religious establishments, and the city for fundraisers could be a creative approach."
"","","","","","Greater funding for food pantries, provide emergency shelter for students, increase wages for students and staff with lower grade positions."
"","","","","","Make housing (undergrad and graduate) more affordable and safer. I have had too many graduate students experience awful conditions in graduate housing that is prohibitively expensive based on their stipends. "
"","","","","","fence the campus"
"","","","","","Donâ€™t force spouses to lose their work permit. "
"","","","","","Giving presentation/flyers or create a website/organization  where people can come and get help"
"","","","","","Pay more equitable wages and make parking more accessible"
"","","","","","Stop being anti-union, Advocate for universal basic needs, stop raising tuition, fight for college to stay free"
"","","","","","More affordable housing options. More healthy and affordable options for food near campus."
"","","","","","I think they are doing a great job"
"","","","","","Expand housing and food scholarships on campus."
"","","","","","Perhaps it would be possible to reserve some housing spaces as short-term ""shelter""-style beds for students facing housing emergencies, or to provide some kind of secure storage (large-ish luggage lockers) for students/adjunct faculty/staff who need to carry more items to campus with them than is convenient to schlep around all day."
"","","","","","while admitting students, build an active data base of students/staff needing food and housing help and then monitor and provide help to the affected"
"","","","","","Pay graduate students, faculty (especially adjuncts), and student workers a LIVING WAGE."
"","","","","","Provide less expensive student housing options"
"","","","","","Build a more connected community"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","University of New Mexico, Gallup","54","30","25","campus food pantry, and other support services (an emergency fund for students, help with taxes and applying for various benefits programs, etc.)"
"","","","","","Make it affordable for students"
"","","","","","Free tuition, fees, and books (State supported)"
"","","","","","Our campus should provide on-campus housing for students. In addition, there should be daycare service and an on-campus food pantry. "
"","","","","","Please increase salary for adjunct faculty."
"","","","","","Provide affordable meal options. "
"","","","","","Our campus definitely needs a food pantry for students. Our bookstore should offer healthy food that's fresh (not expensive prepackaged sandwiches or plastic cups of Chips Ahoy or bags of junk food). It definitely needs to work with community/civic leadership to help bring down the costs of housing, either with rent controls, new home building, underwritten housing for interested faculty, or something like that. One idea that's floating is a campus garden - that produce could be given away or sold at a discount. A stronger collaboration with the local community pantry/garden to allow students a chance to grow some produce could help. Also, what about using AmeriCorps or FoodCorps volunteers to help build programs, lead these efforts, etc.?"
"","","","","","Keep a regularly stocked food bank with sanitary supplies for students."
"","","","","","office a cafeteria"
"","","","","","More nutritious food on campus"
"","","","","","have better and affordable food options on campus so I won't have to look outside of campus"
"","","","","","The university could establish a college food pantry, student dormitories, and more food options on campus."
"","","","","","Salary increase higher than the inflation rate"
"","","","","","Increase salary for adjunct professor "
"","","","","","Have affordable food for staff and students"
"","","","","","Get a real meal service on campus - one that takes cards and is open."
"","","","","","Offer housing for faculty members who have to commute from far places."
"","","","","","We desperately need better meal options and a food pantry at UNM-Gallup."
"","","","","","Work with food vendor on campus to offer a greater variety of health food options. Create a food pantry."
"","","","","","Give me a rise of offer FT job "
"","","","","","not half bad"
"","","","","","Our students in Gallup have great need and getting legislative funding support is crucial to expanding our wrap around services."
"","","","","","Help more"
"","","","","","Offer more food service options"
"","","","","","Provide a pantry"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","University of New Mexico, Los Alamos","16","9","6","I know that resources are available, but students may not know.  Maybe make it more visible?"
"","","","","","Create a monthly farmers market"
"","","","","","Raise the wages? All of your faculty need to be valued and paid for their work: at Los Alamos we have the lowest pay rate, about half what Alb. faculty make for the same classes and it is ridiculous. Teaching conditions are learning conditions."
"","","","","","Give more hands in helping "
"","","","","","The school is very good"
"","","","","","Cafe area having more options and expanding their hours."
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","University of New Mexico, Taos","26","17","11","More robust food pantry and food options"
"","","","","","Pay faculty a better living wage - gas is also an issue in a rural area "
"","","","","","Cheaper food?"
"","","","","","Community resources"
"","","","","","I think the food pantry is an excellent resource."
"","","","","","The food bank is very popular. Would like to see more access to fresh fruits/vegetables "
"","","","","","provide affordable staff and student housing"
"","","","","","Subsidized housing or faculty dorm."
"","","","","","Creating student and employee housing so we can recruit more students and giving a housing stipend for faculty to keep qualified teachers in the classroom."
"","","","","","Provide free meals to students"
"","","","","","UNM-Taos started a food pantry which has been helpful for students."
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","University of New Mexico, Valencia","22","9","8","Buy safe food and give subsidies"
"","","","","","I think they are offering a lot for the students. More of what they are already doing to help more students."
"","","","","","More robust food program."
"","","","","","Give raises that match inflation to guarantee a living wage for their employees"
"","","","","","I think the school does a lot. "
"","","","","","Community garden to grow veg we can eat/share/serve in the cafeteria"
"","","","","","pay adjuncts more"
"","","","","","Emails to all with correct headings"
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","Western New Mexico University","13","6","3","improve quality of cafeteria offerings, especially preparing fresh food on site; campus garden would help; reduce cost of residence hall living"
"","","","","","Pay us more. "
"","","","","","Provide better food and more fresh fruit and vegetables "
"Is there anything else you would like to share?","Central New Mexico Community College","310","78","66","it's hard trying to make ends meet with a low salary and high costs of living. I fall into the category that makes about 200.00 above the annual allotment. So I don't make enough to cover everything and I don't make enough to qualify for help. "
"","","","","","Loss of health insurance due to low enrollment has caused me to work toward an exit from CNM."
"","","","","","no"
"","","","","","I appreciate this survey but doubt anything will change. That your adjunct professors are terrified of not being able to pay rent or feed our children is disgraceful, yet the college continues treating us this way. I've worked as an adjunct at CNM for over a decade, and little has changed. "
"","","","","","Offer remote online options real time classes and technology support for my students for work, transportation health and family obligations while improving education and career opportunities "
"","","","","","I definitely support the food pantry and would love to see it expand even further!"
"","","","","","Stop encouraging people to be weak. Teach them to be self-reliant."
"","","","","","No"
"","","","","","No"
"","","","","","No"
"","","","","","no"
"","","","","","No."
"","","","","","NM seems to be stuck in a hole: the education system is so poor that students don't even know how to make an argument or write a simply essay. When they get to college or university, those non-existing skills keeps them from getting better and higher-paid jobs. "
"","","","","","Thank you for helping people. I worked from poverty/single to career to retirement and now part time work that I love. I know the struggle and I am glad that there are more places for people to get help than there used to be. "
"","","","","","No"
"","","","","","NO"
"","","","","","All locations for higher education should adopt WELL Building standards."
"","","","","","Not many food options on the CNM campus."
"","","","","","No"
"","","","","","No"
"","","","","","no"
"","","","","","No"
"","","","","","no"
"","","","","","No"
"","","","","","CNM seems more like a business than an academic institution. My students often say they only feel like numbers when dealing with CNM non-faculty"
"","","","","","When you ask a yes-no question it is confusing to have levels of true-false options to handle it...it would have been better to have statements for true-false responses"
"","","","","","I am a caregiver for a friend with multiple health issues who has no family. Yet I did not see any clear way to acknowledge this in the survey. I wonder how many people are in my position. We help each other and would also have difficulty surviving on our own. . ."
"","","","","","No"
"","","","","","No"
"","","","","","It would be nice to have a space at campus where students can comfortably sit, eat and socialize. There is places they can sit but it is very sterile feeling. As a commuter college it is sometimes to have places like this for students that have to stay on campus all day before they have a ride back to their house. "
"","","","","","no"
"","","","","","CNM doesn't do a thing to promote cycling to any of its campuses by students, faculty or staff.  There are so many benefits!  I see construction projects consistently ignore helping people bike to campus.  No one even cares about the health of the CNM community or the planet."
"","","","","","I am proud of CNM for having a food pantry. Add diapers and feminine hygiene products to the choices."
"","","","","","My college could invest more in making healthy food options available. Processed foods and coffee do not sustain wellbeing."
"","","","","","No more"
"","","","","","No"
"","","","","","I appreciate this survey being issued and look forward to seeing the results."
"","","","","","Thank you for this work. I hope it brings more understanding about hunger in NM. "
"","","","","","Thank you for looking into this issue.  I have had students who struggle with food insecurity, and it is my hope that solutions will come of this research."
"","","","","","Surveys cannot be both anonymous and confidential.  Please fix the introductory material."
"","","","","","no"
"","","","","","no"
"","","","","","Provide statewide healthcare for all New Mexico residents. Require all students in UNM medical school to be given free tuition with the requirement they work as practicing doctors in the state of New Mexico for a minimum of five years, or pay the full cost of their education with no discount of any type.  State residents pay for the medical school and should benefit from the funding by having the doctors stay in the state."
"","","","","","No"
"","","","","","nope"
"","","","","","The only reason I can be an adjunct is because I have a partner who has a more solid income with health insurance for our family. If we tried to live on my wages, we would be on food stamps and my kids would be on Medicaid. A constant cycle of underfunding education coupled with hiring freezes has made adjuncting a permanent condition on many campuses. Adjuncts are not paid living wages when you consider that most departments limit hours so they don't have to pay benefits."
"","","","","","no"
"","","","","","Although I am currently food and housing secure, I spent years of my employment neither food nor housing secure. "
"","","","","","CNM Main seems like a food desert."
"","","","","","I can't believe that I'm full-time faculty and have food shortages. That's embarrassing. "
"","","","","","ERB and insurance contributions are outrageous per take home pay."
"","","","","","No"
"","","","","","no"
"","","","","","I do have a lot of students that struggle. I hope to see more support systems in place."
"","","","","","The cheapest food is also the poorest in nutrition, so I would like to see healthier choices in the food pantry, and also try to cater to those who you are gluten-free or dairy-free."
"","","","","","No more"
"","","","","","My employer does a poor job of dealing with employees with disabilities. It really adds to my stress and health problems. It also makes me worry about job insecurity."
"","","","","","No."
"","","","","","This was an eye opener."
"","","","","","Cost of living increases or not matching the inflation costs, especially over the last year. When looking at my income and monthly expensenises, I am having difficulty paying the bills on my own.  "
"","","","","","I have have only encountered few students that I know of who were housing insecure in my classes.  Every one of them had attendance problems and had to drop my class.  If there was demand for it, I think it might be a good idea to consider offering classes at homeless shelters to reach these populations, or at the very least, offer orientations to these folks to invite them to take classes online.  In the future, I hope you all consider researching transportation issues in more depth.  This is another huge barrier to attending class which also needs addressing.  Thanks for doing this!"
"","","","","","No"
"","","","","","100$ in groceries each week does not buy you what it use to . We never eat out, do not have any debt, and are a family of 4. Making our pay stretch for 2 weeks is almost impossible and we are close to running out of groceries by the next pay period."
"","","","","","No"
