Topic,Count,Name,Representation,Representative_Docs_x,Representative_Docs_y
64,15,64_insurance_health_care_caused,"['insurance', 'health', 'care', 'caused', 'month', 'provider', 'seek', 'cost', 'medical', 'quick']","['mental health question section money/insurance hinderance, professional help full. counselor i\'ve sought seek mental health therapy ""not taking new patients""... finding provider easy.', ""fear getting sick medical issues astronomically, stupidly high borderline criminal price-gauging cost health insurance easily set months. unm employees steeper discount using unm doctors? i'd happy health care residents doctors training cheaper health care."", 'health insurance high continues grow year. reduced level health insurance high cost. helpful college pay higher health insurance.']","['year, caused rent 2.5 times paying. job switched prescription coverage, caused cost generic prescription need mental health $5 month $100 month.', 'fortunately does not, medical expenses burden gets way', 'pay health insurance fees, and/ retirement monthly', 'cost benefits high - $951 month health alone. wouldnâ€™t accepted position realized salary accessible', 'charging health insurance, forcing reserve 10% pay pension unable access employed?']"
65,15,65_know_dont_don_phase,"['know', 'dont', 'don', 'phase', 'matter', 'didn', 'things', '', '', '']","[""don't know"", ""don't know"", ""don't know""]","['dont know', ""didn't matter"", ""don't know"", ""don't know"", ""don't know""]"
66,14,66_doing_plenty_great_job,"['doing', 'plenty', 'great', 'job', 'think', 'engaged', 'respect', 'already', 'lot', 'mind']","['doing', 'doing', 'doing']","['takes mind work', 'doing', 'engaged,', 'doing great job.', 'doing']"
67,14,67_unm_root_causes_principles,"['unm', 'root', 'causes', 'principles', 'known', 'loan', 'fund', 'based', 'new', 'does']","['unm assistance.', 'pleasure enjoyed work unm especially students staff. unfortunately, make hard decision leave unm pursue employment opportunities based higher wages, retirement deductions parking fees. unm entity great establishment just sad leave based current needs financially. praying come financial hardship passes. love campus!', 'address root causes provide resources fix issue long term. root causes including trauma, historical discrimination, racism, transphobia, homophobia, etc. need institutions like unm really address causes root level resources fund prevention treatment root causes.']","['unm going getting old. useless people administration fat checks little brain.', 'all, adult. student unm problems today, secure well.', 'address root causes provide resources fix issue long term. root causes including trauma, historical discrimination, racism, transphobia, homophobia, etc. need institutions like unm really address causes root level resources fund prevention treatment root causes.', 'make known-i idea unm helped assistance.', ""i'm relatively new unm nm, i'm sure""]"
68,14,68_resources_available_advertise_community,"['resources', 'available', 'advertise', 'community', 'say', 'fits', 'athletic', 'games', 'judgmental', 'providing']","['advertise having resources available. community involved too! include athletic events run food drives, present available resources games.', 'community resources', 'resources']","['using work resources network, available resources unique criteria fits', 'events display/share resources available', 'continue providing resources', 'list resources available.', 'community resources']"
69,13,69_totally_workshops_tuition_demand,"['totally', 'workshops', 'tuition', 'demand', 'loan', 'free', 'financial', 'khan', 'academy', 'decline']","['programs loan use term loan. drives people away misleading program free payback.', 'create financial education workshops: provide workshops focus budgeting, debt management, topics related personal finance.', 'state provide totally free on-demand/online option earning college degree. khan academy, example, provides subject-matter lessons totally free, available demand, far better conveying useful information in-class courses available practically public universities.']","['students canâ€™t afford attend classes numbers decline job semester.', 'choose teach classes based income bills', 'make affordable students', 'free tuition, fees, books (state supported)', 'programs loan use term loan. drives people away misleading program free payback.']"
70,12,70_lunch_home_money_groceries,"['lunch', 'home', 'money', 'groceries', 'supposed', 'planet', 'hour', 'extra', 'saved', 'don']","[""housing focused commute work day, especially weather little unpredictable winter, preventing telework stay home. called work leave times. wish home nearby easily to, commuting hour. food-wise, don't time groceries neglect getting food stress exhaustion day."", ""leave don't money gas spent money food dollar tree buying couple items week two. really pinch extra money food, lunch break eat. usually work lunch don't spend additional money lunch. use money dinner. looking part-time job generate additional funds working 12-16 hour days secure part-time job."", ""zoom events don't work. hr offers stupid online programs waste energy. don't reward people shit isn't good planet. stop buying cheap swag transforms trash receipt. don't shop amazon. don't athletes fast food road. look problem wide angle lens instead putting band-aid systematic issues. giving people cheap food effective exploring need it. planet overpopulated idiots. stop having babies. #1 ingredient baby formula corn syrup. real problem; you'll chance right start like that.""]","['sick work cause scared miss day afford roof head groceries. know pto want use things occur husband daughter hospital', 'day concentrate work think able home events work food people seeing.', 'eat lunch. person office goes home eat lunch. cheaper. engage ""social"" aspect lunch hour. currently, live parent\'s rental mobile home free. supposed temporary. car payment pay utilities. afford monthly car insurance supposed pay parents.', 'stress trying decide buy groceries pay bills.', 'know lot extra money spend food, try buy just need foods long way cost much. does effect work much, extra job addition time job use groceries week lessen stress affording food. free time bed later want stuck job.']"
71,12,71_know_knowledgeable_unaware_knew,"['know', 'knowledgeable', 'unaware', 'knew', 'contract', 'knowledge', 'awareness', 'aware', 'wish', '']","['know', 'know.', 'know']","['know contract.', 'aware', 'knowledge', ""i'm knowledgeable"", 'awareness']"
72,12,72_lunch_bring_lunches_hour,"['lunch', 'bring', 'lunches', 'hour', 'partake', 'allotted', 'rushed', 'challange', 'touch', 'energized']","['difficult make sure food bring lunch', ""don't option lunch lunch break"", ""lunch time touch push lunch hour complete tasks work time leave lunch feel rushed come outside allotted time usually don't eat home work.""]","[""lunch time touch push lunch hour complete tasks work time leave lunch feel rushed come outside allotted time usually don't eat home work."", 'just need creative lunch breaks sometimes.', 'lunches work', 'eating ramen lunch', ""me, it's not, really. 1/2 hour lunch, probably affecting health work they'd need bring food work eat snacks machines.""]"
73,11,73_drives_site_banks_signs,"['drives', 'site', 'banks', 'signs', 'prominent', 'satellites', 'highlands', 'shiprock', 'popular', 'fruits']","['maybe food drives shiprock site.', 'food banks drives', 'food drives']","['food drives', 'food banks drives', 'highlands satellites prominent signs food banks resources.', 'food distribution often.', 'maybe food drives shiprock site.']"
74,11,74_unexpected_rising_grocery_increasing,"['unexpected', 'rising', 'grocery', 'increasing', 'means', 'ignored', 'suffering', 'insulting', 'expenses', 'cost']","['unexpected things & rise grocery costs, insurance,', 'increasing food prices mean tough choices meals home. make grocery trips deals means time working', ""lowest salaried person division consistently ignored. it's insulting rising cost food direct impact budget.""]","['increasing food prices mean tough choices meals home. make grocery trips deals means time working', 'people suffering high grocery store expenses.', ""it's paid unexpected medical expenses. i'm able buy healthy food regular basis."", 'stress increasing food cost', 'unexpected things & rise grocery costs, insurance,']"
